我倾向从何处得到力量? 别人E 我自己的想法I
若我有时间和金钱，我的朋友邀请我到国外度假，并且在一天前才通知，我会： 必须先检查我的时间表J 立即收拾行装P
在第一次约会中，我： 若我所约的人来迟了，我会很不高兴J 一点都不在乎，因为我自己已常常迟到P
我偏好： 事先知道约会的行程：要去哪里、有谁参加、该如何打扮J 让约会自然地发生，不做先前太多的计划P
我选择的生活循环着： 日程表和组织J 自然发生和弹性P
哪一项较为常见： 我准时出席而其它人迟到J 其它人都准则出席而我迟到P
我是这样喜欢……的人： 下定决心并且做出最后肯定的结论J 开放我的选择并且持续收集信息P
我是这类型的人： 喜欢在一个时间里专心于一件事情直到完成J 享受同时进行好几件事情P
当你要外出一整天，你会 计划你要做什么和在什么时候做J 说去就去P
你认为自己是一个 较为随兴所至的人P 较为有条理的人J
假如你是一位老师，你会选教 以事实为主的课程S 涉及理论的课程N
你通常 与人容易混熟E 比较沉静或矜持I
一般来说，你和哪些人比较合得来 富于想象力的人N 现实的人S
你是否经常让 你的情感支配你的理智F 你的理智主宰你的情感T
处理许多事情上，你会喜欢 凭兴所至行事P 按照计划行事J
你是否 容易让人了解E 难于让人了解I
按照程序表做事 合你心意J 令你感到束缚P
当你有一份特别的任务，你会喜欢 开始前小心组织计划J 边做边找须做什么P
在大多数情况下，你会选择 顺其自然P 按程序表做事J
大多数人会说你是一个 重视自我隐私的人I 非常坦率开放的人E
你宁愿被人认为是一个 实事求是的人S 机灵的人N
在一大群人当中，通常是 你介绍大家认识E 别人介绍你I
你会跟哪些人做朋友 常提出新主意的N 脚踏实地的S
你倾向 重视感情多于逻辑F 重视逻辑多于感情T
你比较喜欢 坐观事情发展才作计划P 很早就作计划J
你喜欢花很多的时间 一个人独处I 和别人在一起E
你比较喜欢 很早便把约会、社交聚集等事情安排妥当J 无拘无束，看当时有什么好玩就做什么P
计划一个旅程时，你较喜欢 大部分的时间都是跟当天的感觉行事P 事先知道大部分的日子会做什么J
在社交聚会中，你 有时感到郁闷I 常常乐在其中E
你通常 和别人容易混熟E 趋向自处一隅I
哪些人会更吸引你 一个思想敏捷及非常聪颖的人T 实事求是，具丰富常识的人F
在日常工作中，你会 颇为喜欢处理迫使你分秒必争的突发P 通常预先计划，以免要在压力下工作J
你认为别人一般 要花很长时间才认识你I 用很短的时间便认识你E
当你要在一个星期内完成一个大项目，你在开始的时候会 把要做的不同工作依次列出J 马上动工P
在社交场合中，你经常会感到 与某些人很难打开话匣儿和保持对话I 与多数人都能从容地长谈E
要做许多人也做的事，你比较喜欢 按照一般认可的方法去做S 构想一个自己的想法N
你刚认识的朋友能否说出你的兴趣 马上可以E 要待他们真正了解你之后才可以I
你通常较喜欢的科目是 讲授概念和原则的N 讲授事实和数据的S
哪个是较高的赞誉，或称许为 一贯感性的人F 一贯理性的人T
你认为按照程序表做事 有时是需要的，但一般来说你不大喜欢这样做P 大多数情况下是有帮助而且是你喜欢做的J
和一群人在一起，你通常会选 跟你很熟悉的个别人谈话I 参与大伙的谈话E
在社交聚会上，你会 是说话很多的一个E 让别人多说话I
把周末期间要完成的事列成清单，这个主意会 合你意J 使你提不起劲P
哪个是较高的赞誉 能干的T 富有同情心F
你通常喜欢 事先安排你的社交约会J 随兴之所至做事P
总的说来，要做一个大型作业时，你会选 边做边想该做什么P 首先把工作按步细分J
你能否滔滔不绝地与人聊天 只限于跟你有共同兴趣的人I 几乎跟任何人都可以E
你会 跟随一些证明有效的方法S 分析还有什么毛病，及针对尚未解决的难题N
为乐趣而阅读时，你会 喜欢奇特或创新的表达方式N 喜欢作者直话直说S
你宁愿替哪一类上司（或者老师）工作 天性淳良，但常常前后不一的T 言词尖锐但永远合乎逻辑的N
你做事多数是 按当天心情去做P 照拟好的程序表去做J
你是否 可以和任何人按需求从容地交谈E 只是对某些人或在某种情况下才可以畅所欲言I
要作决定时，你认为比较重要的是 据事实衡量T 考虑他人的感受和意见F
